,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,tackles_per_game,interceptions_per_game,fouls_per_game,offsides_won_per_game,clearances_per_game,dribbled_past_per_game,outfielder_blocks_per_game,own_goals,rating
0,24,128967,João Cancelo,28.0," D(LR),M(R)",182.0,74.0,13(4),13.0,4,1206.0,2.4,1.2,1.0,0.1,0.9,0.9,0.1,0.0,7.21
1,25,19119,Fernandinho,37.0," D(CR),DMC",179.0,67.0,26(4),26.0,4,2399.0,1.7,0.8,0.9,0.6,2.7,0.6,0.5,1.0,6.86
2,26,273257,Oleksandr Zinchenko,25.0," D(L),M(CLR)",175.0,64.0,13(6),13.0,6,1273.0,1.6,0.9,0.7,0.3,1.0,0.8,0.0,0.0,6.7
3,27,303139,Rodri,26.0, DMC,191.0,82.0,29(6),29.0,6,2488.0,1.4,0.7,1.2,0.1,0.9,1.1,0.1,0.0,7.09
4,28,73084,Kevin De Bruyne,31.0," M(CLR),FW",181.0,68.0,32(3),32.0,3,2800.0,1.3,0.5,0.7,0.0,0.7,1.4,0.1,0.0,7.97
5,29,75691,Nicolás Otamendi,34.0, D(C),183.0,81.0,18(6),18.0,6,1711.0,1.2,0.9,0.9,0.5,3.0,0.7,0.4,0.0,6.8
6,30,136741,Bernardo Silva,28.0," M(CLR),FW",173.0,64.0,23(11),23.0,11,2031.0,1.1,0.7,0.7,0.0,0.4,0.9,0.0,0.0,7.03
7,31,101374,John Stones,28.0, D(CR),188.0,70.0,12(4),12.0,4,1119.0,1.0,0.6,0.3,0.6,1.9,0.1,0.2,0.0,6.68
8,32,69778,Kyle Walker,32.0," D(CR),M(R)",178.0,70.0,28(1),28.0,1,2398.0,1.0,1.0,0.9,0.2,1.2,0.6,0.2,0.0,6.9
9,33,14102,David Silva,36.0," M(CLR),FW",170.0,67.0,22(5),22.0,5,1833.0,1.0,0.5,0.7,0.0,0.2,0.7,0.1,0.0,7.29
10,34,105962,Benjamin Mendy,28.0," D(L),DMC,M(L)",185.0,85.0,18(1),18.0,1,1497.0,0.9,0.8,0.6,0.3,0.9,0.9,0.1,0.0,6.83
11,35,77464,Ilkay Gündogan,31.0, M(C),180.0,80.0,21(10),21.0,10,2017.0,0.9,1.0,0.5,0.0,0.4,1.0,0.2,0.0,6.7
12,36,122117,Aymeric Laporte,28.0, D(CL),191.0,86.0,14(1),14.0,1,1104.0,0.9,1.3,0.6,0.7,1.7,0.3,0.3,0.0,7.0
13,37,104749,Riyad Mahrez,31.0," AM(CLR),FW",179.0,67.0,21(12),21.0,12,1942.0,0.8,0.5,0.4,0.0,0.2,0.8,0.0,0.0,7.48
14,38,255089,Angeliño,25.0," D(L),M(L)",175.0,69.0,4(2),4.0,2,422.0,0.8,1.5,0.3,0.2,2.5,0.3,0.0,0.0,6.78
15,39,97692,Raheem Sterling,27.0," M(CLR),FW",170.0,69.0,30(3),30.0,3,2661.0,0.8,0.5,0.9,0.0,0.1,0.7,0.1,0.0,7.35
16,40,331254,Phil Foden,22.0," AM(CLR),FW",171.0,70.0,9(14),9.0,14,893.0,0.6,0.3,0.5,0.0,0.1,0.6,0.0,0.0,6.86
17,41,279379,Gabriel Jesus,25.0," AM(LR),FW",175.0,73.0,21(13),21.0,13,2026.0,0.5,0.3,0.8,0.0,0.2,0.5,0.0,0.0,7.26
18,42,368091,Eric García,21.0, D(C),182.0,76.0,8(5),8.0,5,791.0,0.5,1.4,0.7,0.8,2.4,0.3,0.0,0.0,6.69
19,43,14260,Sergio Agüero,34.0," AM(CL),FW",173.0,70.0,18(6),18.0,6,1460.0,0.3,0.1,0.4,0.0,0.1,0.3,0.0,0.0,7.16
20,44,121774,Ederson,29.0, GK,188.0,86.0,35,35.0,0,3072.0,0.1,0.1,0.1,0.0,0.7,0.1,0.0,0.0,6.62
21,45,14199,Claudio Bravo,39.0, GK,184.0,80.0,3(1),3.0,1,346.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,6.39
22,46,144711,Leroy Sané,26.0," M(CLR),FW",183.0,80.0,0(1),0.0,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23
23,47,386856,Tommy Doyle,20.0, AM(C),0.0,0.0,0(1),0.0,1,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.35
