,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,33404,Eden Hazard,31," M(CLR),FW",175,74,25(6),25,6,2192,4,3,1.2,2.1,2.9,2.3,0.3,1.5,1.7,7.11
1,1,29463,Willian,34, AM(CLR),174,76,32(3),32,3,2751,5,6,1.7,2.3,2.4,1.9,0.1,1.4,1.4,7.2
2,2,132838,Kenedy,26," D(L),M(LR)",182,77,4(10),4,10,552,1,0,0.9,0.4,1.9,0.6,0.1,0.9,1.2,6.65
3,3,44055,Pedro,35," M(CLR),FW",169,65,24(5),24,5,2044,7,2,2.0,1.4,1.8,1.6,0.2,1.5,1.6,7.03
4,4,24248,Diego Costa,33, FW,188,83,27(1),27,1,2379,12,6,2.4,1.1,1.4,1.8,1.2,2.5,2.9,7.08
5,5,38128,Nemanja Matic,34, DMC,194,85,28(5),28,5,2421,2,2,1.0,0.6,1.2,0.5,0.1,1.1,0.8,6.98
6,6,44868,Juan Cuadrado,34," D(R),M(CLR),FW",179,72,0(1),0,1,26,0,0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.36
7,7,41065,Oscar,31, M(CLR),179,70,20(7),20,7,1775,3,3,1.9,1.1,1.0,1.3,0.1,1.1,1.3,6.86
8,8,109807,Bertrand Traoré,27," AM(R),FW",181,73,4(6),4,6,374,2,1,1.7,0.5,0.9,0.4,0.5,0.4,1.5,6.77
9,9,15464,John Obi Mikel,35, M(C),188,83,19(6),19,6,1784,0,1,0.3,0.2,0.8,0.4,0.0,0.5,0.4,6.68
10,10,255777,Ruben Loftus-Cheek,26, M(CLR),191,88,4(9),4,9,408,1,0,0.9,0.3,0.8,1.1,0.1,0.7,0.8,6.49
11,11,8040,Cesc Fàbregas,35," M(CL),FW",180,77,33(4),33,4,2899,5,7,1.2,1.8,0.6,1.1,0.1,0.8,0.7,7.14
12,12,23054,Loïc Rémy,35," M(LR),FW",185,80,3(10),3,10,285,1,0,1.0,0.3,0.5,0.5,0.4,0.5,0.8,6.26
13,13,114845,Abdul Rahman Baba,28," D(L),M(L)",180,72,11(4),11,4,1017,0,1,0.4,0.2,0.5,0.3,0.1,1.0,0.5,6.75
14,14,28191,Ramires,35, M(CR),180,73,7(5),7,5,608,2,0,0.8,0.1,0.5,1.3,0.1,1.0,0.5,6.57
15,15,317506,Tammy Abraham,25, FW,190,80,0(2),0,2,53,0,0,1.0,0.0,0.5,0.0,1.5,1.5,0.5,5.96
16,16,15338,Branislav Ivanovic,38, D(CR),185,80,33,33,0,2918,2,2,0.8,0.4,0.3,0.7,0.0,0.3,0.4,6.88
17,17,18701,Radamel Falcao,36, FW,177,72,1(9),1,9,228,1,0,1.1,0.2,0.2,0.5,0.2,0.5,0.6,6.27
18,18,106086,Kurt Zouma,27, D(CR),190,96,21(2),21,2,1918,1,1,0.7,0.0,0.2,0.3,0.1,0.1,0.3,6.87
19,19,25931,César Azpilicueta,33," D(CLR),M(R)",178,76,36(1),36,1,3202,2,3,0.3,0.6,0.2,0.5,0.0,0.1,0.6,7.03
20,20,11981,Gary Cahill,36, D(C),193,86,21(2),21,2,1955,2,1,0.6,0.1,0.1,0.9,0.0,0.2,0.3,6.81
21,21,70,John Terry,41, D(C),187,90,24,24,0,1991,1,0,0.4,0.1,0.1,0.2,0.1,0.1,0.0,6.55
22,22,23158,Alexandre Pato,33," M(CLR),FW",175,72,1(1),1,1,131,1,0,2.0,0.0,0.0,1.5,1.0,2.5,1.5,6.62
23,23,23122,Asmir Begovic,35, GK,199,101,15(2),15,2,1397,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.76
24,24,317507,Fikayo Tomori,24, D(CR),185,75,0(1),0,1,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19
25,25,312919,Jake Clarke-Salter,25, D(C),188,70,0(1),0,1,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
26,26,131999,Matt Miazga,27, D(C),191,84,2,2,0,136,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,6.35
27,27,73798,Thibaut Courtois,30, GK,200,96,23,23,0,2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
