,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,32,297203,Pablo Fornals,26.0, M(CLR),178.0,67.0,30(5),30.0,5,2623.0,12.0,1.5,37.9,78.1,0.2,2.3,0.2,6.9
1,33,71687,Carlos Bacca,36.0, FW,181.0,77.0,30(5),30.0,5,2512.0,6.0,0.9,14.9,73.8,0.1,0.4,0.0,6.95
2,34,238773,Samu Castillejo,27.0, AM(CLR),182.0,67.0,25(5),25.0,5,2085.0,5.0,1.4,29.5,82.5,1.0,1.3,0.1,7.16
3,35,334221,Dani Raba,26.0, AM(CR),184.0,76.0,14(7),14.0,7,1115.0,4.0,1.2,21.5,78.8,0.5,1.3,0.1,6.68
4,36,102234,Manu Trigueros,30.0," M(CLR),FW",178.0,75.0,32(2),32.0,2,2709.0,4.0,1.3,53.4,87.6,0.6,3.5,0.2,6.91
5,37,79909,Mario Gaspar,31.0," D(CR),M(R)",182.0,74.0,31(1),31.0,1,2806.0,3.0,1.0,45.1,78.6,0.3,1.9,0.0,7.14
6,38,303139,Rodri,26.0, DMC,191.0,82.0,36(1),36.0,1,3228.0,3.0,0.6,66.8,90.1,0.0,4.4,0.0,7.2
7,39,99907,Álvaro González,32.0, D(C),182.0,75.0,32(1),32.0,1,2899.0,2.0,0.2,43.5,83.7,0.1,3.9,0.0,6.76
8,40,134695,Enes Ünal,25.0, FW,187.0,78.0,11(12),11.0,12,1122.0,2.0,0.4,12.2,73.2,0.0,0.1,0.1,6.58
9,41,2247,Daniele Bonera,41.0, D(CR),183.0,84.0,14(1),14.0,1,1191.0,1.0,0.2,37.7,86.9,0.0,3.5,0.0,6.63
10,42,110297,Denis Cheryshev,31.0," AM(L),FW",179.0,74.0,9(15),9.0,15,922.0,1.0,0.7,12.5,71.7,0.3,0.3,0.0,6.55
11,43,83651,Nicola Sansone,31.0," AM(LR),FW",175.0,68.0,5(13),5.0,13,627.0,1.0,0.7,12.0,78.7,0.3,0.4,0.0,6.53
12,44,79558,Víctor Ruiz,33.0, D(C),184.0,95.0,27,27.0,0,2417.0,1.0,0.1,52.6,85.6,0.0,3.9,0.1,6.9
13,45,243271,Adrián Marín,25.0," D(L),M(L)",181.0,73.0,2(1),2.0,1,233.0,0.0,0.3,29.7,85.4,0.0,2.0,0.0,6.48
14,46,34123,Alfred N'Diaye,32.0," D(C),M(C)",193.0,90.0,1(1),1.0,1,100.0,0.0,0.0,18.0,88.9,0.0,2.0,0.0,6.35
15,47,32565,Andrés Fernández,35.0, GK,187.0,82.0,3,3.0,0,226.0,0.0,0.0,20.0,58.3,0.0,3.7,0.0,6.62
16,48,28133,Antonio Rukavina,38.0," D(LR),M(R)",177.0,74.0,14(3),14.0,3,1270.0,0.0,0.5,27.3,83.4,0.4,1.6,0.1,6.56
17,49,86513,Cédric Bakambu,31.0," AM(LR),FW",182.0,73.0,15,15.0,0,1269.0,0.0,1.0,18.6,73.8,0.2,0.4,0.0,7.01
18,50,331699,Darío Poveda,25.0, Forward,185.0,75.0,0(1),0.0,1,1.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,6.04
19,51,69965,Jaume Costa,34.0," D(LR),M(L)",171.0,62.0,29(1),29.0,1,2541.0,0.0,1.0,43.3,82.5,0.4,2.3,0.0,6.86
20,52,27745,Javi Fuego,38.0, M(C),181.0,76.0,6(5),6.0,5,535.0,0.0,0.0,30.1,78.9,0.0,1.2,0.0,6.22
21,53,249908,Leonardo Suárez,26.0, FW,167.0,60.0,0(1),0.0,1,28.0,0.0,0.0,11.0,81.8,0.0,1.0,0.0,6.12
22,54,141021,Mariano Barbosa,38.0, GK,188.0,79.0,12(1),12.0,1,1125.0,0.0,0.0,21.4,60.4,0.0,4.6,0.0,6.67
23,55,306786,Mario González,26.0, FW,183.0,76.0,0(2),0.0,2,16.0,0.0,0.5,3.5,57.1,0.0,0.0,0.0,6.03
24,56,344259,Pau Torres,25.0, D(C),191.0,80.0,0(2),0.0,2,51.0,0.0,0.0,15.5,64.5,0.0,1.5,0.0,6.14
25,57,346201,Ramiro Guerra,25.0, Midfielder,183.0,75.0,0(4),0.0,4,67.0,0.0,0.3,7.8,80.6,0.3,0.3,0.0,6.03
26,58,78906,Roberto Soriano,31.0, AM(CLR),182.0,76.0,11(11),11.0,11,1136.0,0.0,0.6,22.0,80.2,0.2,0.3,0.0,6.41
27,59,135344,Roger Martínez,28.0, FW,180.0,76.0,2(6),2.0,6,227.0,0.0,0.0,7.5,75.0,0.0,0.3,0.0,6.29
28,60,136305,Rúben Semedo,28.0, D(C),189.0,84.0,3(1),3.0,1,231.0,0.0,0.3,22.0,87.5,0.0,0.8,0.0,5.94
29,61,111560,Salem Al Dawsari,31.0, Midfielder,171.0,72.0,0(1),0.0,1,33.0,0.0,0.0,17.0,88.2,0.0,0.0,0.0,6.1
30,62,32258,Sergio Asenjo,33.0, GK,189.0,87.0,23,23.0,0,2070.0,0.0,0.0,23.3,55.2,0.0,6.4,0.0,6.79
31,63,344260,Chuca,25.0, Midfielder,182.0,75.0,1(3),1.0,3,86.0,0.0,0.3,11.3,77.8,0.0,1.0,0.0,5.89
