,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,315227,Erling Haaland,22, FW,194,88,7,7,0.0,575,11,1,0,0,3.9,79.1,0.3,2,8.13
1,73084,Kevin De Bruyne,31," M(CLR),FW",181,68,6(1),6,1.0,540,1,6,0,0,2.7,80.7,0.4,2,7.79
2,128967,João Cancelo,28," D(LR),M(R)",182,74,7,7,0.0,579,1,0,2,0,1.1,87.8,2.7,0,7.5
3,113069,Jack Grealish,27," AM(CL),FW",175,68,2(1),2,1.0,212,1,0,0,0,1.0,92.8,0.3,1,7.5
4,303139,Rodri,26, DMC,191,82,7,7,0.0,585,0,2,1,0,1.6,92.4,3.3,0,7.3
5,331254,Phil Foden,22," AM(CLR),FW",171,70,7,7,0.0,531,2,2,1,0,1.4,88.1,0.4,0,7.29
6,77464,Ilkay Gündogan,31, M(C),180,80,5(2),5,2.0,460,2,1,0,0,1.4,89.8,1.3,0,7.24
7,136741,Bernardo Silva,28," M(CLR),FW",173,64,5(2),5,2.0,451,2,3,0,0,0.9,89.6,0.0,0,7.23
8,297390,Manuel Akanji,27, D(CR),188,91,1,1,0.0,90,0,0,0,0,0.0,96.7,1.0,0,7.16
9,313171,Rúben Dias,25, D(C),186,76,6(1),6,1.0,583,0,0,0,0,0.4,93.4,3.0,0,7.05
10,365409,Julián Álvarez,22," AM(R),FW",170,71,1(4),1,4.0,166,2,0,0,0,1.4,90.6,0.2,1,6.92
11,69778,Kyle Walker,32," D(CR),M(R)",178,70,6,6,0.0,522,0,0,0,0,0.2,91.1,1.2,0,6.74
12,101374,John Stones,28, D(CR),188,70,5(1),5,1.0,461,0,2,1,0,0.3,96.8,0.8,0,6.7
13,122945,Nathan Aké,27," D(CL),DMC",180,75,3(1),3,1.0,211,0,0,0,0,0.8,94.8,1.0,0,6.65
14,121774,Ederson,29, GK,188,86,7,7,0.0,630,0,0,0,0,0.0,89.6,0.6,0,6.58
15,104749,Riyad Mahrez,31," AM(CLR),FW",179,67,2(4),2,4.0,223,0,0,0,0,1.0,92.4,0.0,0,6.46
16,444791,Rico Lewis,17, Defender,0,0,0(2),0,2.0,24,0,0,0,0,0.0,96.2,0.0,0,6.25
17,395692,Cole Palmer,20, Midfielder,182,0,0(4),0,4.0,51,0,0,0,0,0.3,87.5,0.3,0,6.23
18,355110,Sergio Gómez,22, D(L),171,68,0(3),0,3.0,37,0,0,0,0,0.3,85.0,0.0,0,6.2
19,270446,Kalvin Phillips,26," D(C),DMC",178,72,0(1),0,1.0,1,0,0,0,0,0.0,75.0,0.0,0,6.05
