,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,5583,Cristiano Ronaldo,37," M(L),FW",187,83,27(3),27,3,2459,18,3,8,0,3.7,81.9,1.4,5,7.11
1,123761,Bruno Fernandes,28, M(CLR),179,69,35(1),35,1,3120,10,6,10,0,2.5,78.3,0.5,3,7.03
2,97752,Paul Pogba,29, M(CL),191,84,16(4),16,4,1355,1,9,7,1,1.6,83.5,1.8,1,7.0
3,367782,Mason Greenwood,20," AM(R),FW",181,70,16(2),16,2,1281,5,1,1,0,2.7,83.8,0.2,0,6.98
4,331924,Aaron Wan-Bissaka,24," D(R),M(R)",183,72,20,20,0,1794,0,0,2,0,0.3,81.0,1.0,1,6.91
5,336915,Scott McTominay,25," D(C),DMC",193,88,28(2),28,2,2393,1,1,9,0,0.9,85.6,2.3,2,6.89
6,125793,Alex Telles,29," D(L),M(L)",181,71,18(3),18,3,1660,0,4,1,0,0.5,80.3,1.4,0,6.89
7,114397,Fred,29, M(C),169,64,24(4),24,4,2036,4,4,5,0,0.5,84.1,0.5,2,6.87
8,353418,Diogo Dalot,23," D(LR),M(R)",183,76,19(5),19,5,1799,0,0,4,0,0.5,80.2,1.2,1,6.86
9,93206,Raphaël Varane,29, D(C),191,81,20(2),20,2,1829,1,1,0,0,0.4,87.8,2.5,1,6.78
10,346300,Jadon Sancho,22, AM(CLR),180,76,20(9),20,9,1904,3,3,0,0,0.9,83.5,0.1,1,6.66
11,99487,Harry Maguire,29, D(C),194,100,28(2),28,2,2514,1,0,7,1,0.8,86.4,2.5,0,6.65
12,79554,David de Gea,31, GK,192,76,38,38,0,3420,0,0,0,0,0.0,68.9,0.2,1,6.64
13,118244,Luke Shaw,27," D(CL),M(L)",185,75,19(1),19,1,1603,0,3,8,0,0.3,84.1,1.0,0,6.64
14,38128,Nemanja Matic,34, DMC,194,85,16(7),16,7,1384,0,4,3,0,0.3,87.1,1.2,0,6.63
15,413211,Anthony Elanga,20, AM(LR),178,0,14(7),14,7,1217,2,2,0,0,1.0,78.2,1.1,0,6.56
16,302313,Daniel James,24," AM(LR),FW",171,76,2,2,0,128,0,0,0,0,2.0,69.0,0.5,0,6.53
17,100008,Victor Lindelöf,28, D(CR),187,80,26(2),26,2,2355,0,2,4,0,0.1,87.8,1.9,0,6.5
18,81726,Phil Jones,30," D(CR),DMC",180,71,2(2),2,2,163,0,0,0,0,0.0,87.7,0.5,0,6.42
19,24328,Edinson Cavani,35," AM(LR),FW",184,71,7(8),7,8,765,2,1,0,0,1.2,76.1,0.5,0,6.4
20,300299,Marcus Rashford,24," AM(CLR),FW",180,70,13(12),13,12,1233,4,2,2,0,0.9,76.1,0.4,0,6.35
21,25363,Juan Mata,34, AM(CLR),170,63,2(5),2,5,232,0,0,0,0,0.7,88.9,0.0,0,6.31
22,122366,Anthony Martial,26," AM(LR),FW",181,76,2(6),2,6,210,1,0,0,0,0.6,81.7,0.5,0,6.31
23,275035,Donny van de Beek,25, M(C),184,76,0(8),0,8,69,1,0,0,0,0.3,78.8,0.1,0,6.3
24,243814,Eric Bailly,28, D(CR),187,77,3(1),3,1,218,0,0,1,0,0.0,80.0,1.5,0,6.28
25,109000,Jesse Lingard,29," AM(CLR),FW",175,62,2(14),2,14,356,2,0,1,0,0.5,88.3,0.0,0,6.24
26,410512,Shola Shoretire,18, Forward,170,0,0(1),0,1,16,0,0,0,0,0.0,100.0,0.0,0,6.05
27,437022,Alejandro Garnacho,18, Midfielder,180,80,0(2),0,2,12,0,0,0,0,0.0,100.0,0.0,0,5.98
28,416207,Hannibal Mejbri,19, Midfielder,177,0,1(1),1,1,68,0,0,2,0,0.5,81.0,0.0,0,5.97
