,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,134893,Nabil Fekir,29," AM(CLR),FW",173,72,34,34,0,2776,13,9,2.6,1.4,2.8,3.3,0.5,2.2,2.7,7.57
1,1,73078,Alexandre Lacazette,31," M(CLR),FW",175,73,33,33,0,2849,27,6,2.9,1.6,2.0,1.8,0.7,2.5,2.5,7.69
2,2,79562,Clément Grenier,31, M(CL),186,72,4(2),4,2,361,1,2,1.3,2.0,1.3,1.5,0.0,1.2,2.0,7.32
3,3,121849,Clinton N'Jie,29," AM(LR),FW",176,73,15(15),15,15,1521,7,7,1.6,0.8,1.3,0.6,0.5,1.4,1.5,6.82
4,4,95423,Rachid Ghezzal,30, AM(CLR),182,70,6(12),6,12,585,0,2,0.6,0.6,0.9,0.9,0.3,0.6,1.1,6.47
5,5,17432,Mouhamadou Dabo,35, D(LR),176,65,13,13,0,1025,0,0,0.5,0.7,0.8,0.9,0.1,1.1,0.8,6.94
6,6,14240,Christophe Jallet,38," D(LR),M(L)",178,70,32,32,0,2880,1,3,0.8,1.0,0.8,0.6,0.1,0.8,1.1,7.5
7,7,95422,Jordan Ferri,30, M(C),173,73,30(5),30,5,2614,1,6,1.1,1.0,0.7,1.4,0.0,1.9,1.3,6.79
8,8,10426,Henri Bedimo,38, D(L),180,80,25(2),25,2,2157,0,4,0.2,0.6,0.7,1.3,0.1,0.9,1.0,6.74
9,9,19663,Arnold Mvuemba,37, DMC,172,67,10(10),10,10,957,0,1,0.5,0.8,0.6,0.2,0.0,1.0,0.6,6.43
10,10,85677,Lindsay Rose,30, D(C),184,79,13(2),13,2,1207,0,0,0.2,0.1,0.6,0.5,0.0,0.1,0.4,6.8
11,11,8006,Yoann Gourcuff,36, M(CL),185,82,8(9),8,9,774,3,4,1.1,1.2,0.6,0.9,0.1,1.1,1.1,6.83
12,12,79560,Maxime Gonalons,33," D(C),M(C)",187,76,35,35,0,3137,1,2,0.6,0.5,0.5,1.6,0.0,0.8,0.6,7.43
13,13,2113,Steed Malbranque,42, M(C),171,75,13(15),13,15,1189,3,1,0.8,0.8,0.5,0.4,0.0,1.0,0.9,6.47
14,14,89931,Samuel Umtiti,28, D(CL),182,75,35,35,0,3089,1,2,0.5,0.1,0.5,0.8,0.0,0.1,0.1,7.15
15,15,134894,Corentin Tolisso,28," D(R),M(CR)",181,81,37(1),37,1,3317,7,2,1.3,0.6,0.4,1.2,0.0,0.7,0.9,7.07
16,16,14488,Milan Bisevac,39, D(C),185,81,13,13,0,1082,0,1,0.2,0.1,0.4,0.5,0.0,0.2,0.0,6.98
17,17,114168,Yassine Benzia,28," AM(CLR),FW",179,77,3(7),3,7,318,2,0,1.0,0.5,0.3,0.6,0.1,0.7,1.4,6.39
18,18,109913,Mohamed Yattara,29, FW,185,76,4(17),4,17,513,1,1,1.1,0.3,0.3,0.3,0.2,0.6,1.0,6.21
19,19,129827,Fares Bahlouli,27, Midfielder,182,82,0(4),0,4,49,0,0,0.3,0.8,0.3,0.5,0.0,0.0,0.5,6.26
20,20,109941,Mehdi Zeffane,30," D(LR),M(R)",176,73,1(3),1,3,204,0,0,0.8,0.3,0.3,0.5,0.0,0.3,0.0,6.66
21,21,33630,Bakary Koné,34, D(C),188,80,14(3),14,3,1290,1,0,0.3,0.2,0.1,0.5,0.1,0.0,0.2,6.89
22,22,71833,Anthony Lopes,32, GK,184,81,38,38,0,3420,0,1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,7.07
23,23,1776,Gaël Danic,40, AM(CLR),176,65,1,1,0,61,0,0,4.0,1.0,0.0,4.0,1.0,2.0,3.0,6.39
24,24,44755,Gueida Fofana,31," D(R),DMC",182,74,0(2),0,2,41,0,0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,6.28
