,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,9016,Franck Ribéry,39.0," AM(CL),FW",170.0,72.0,24(3),24.0,3,2120.0,14.0,3.2,55.9,87.7,1.7,3.2,0.3,8.42
1,25,5570,Philipp Lahm,38.0," D(R),DMC",170.0,66.0,28(1),28.0,1,2504.0,11.0,1.4,65.4,89.7,1.0,5.5,0.2,7.41
2,26,37099,Thomas Müller,33.0," M(CLR),FW",185.0,76.0,25(3),25.0,3,2102.0,11.0,2.0,30.8,77.7,1.1,0.6,0.1,7.69
3,27,31772,Toni Kroos,32.0, M(C),183.0,76.0,23(1),23.0,1,1926.0,8.0,2.8,52.8,89.7,2.1,3.8,0.4,7.69
4,28,217,Claudio Pizarro,44.0," AM(C),FW",184.0,84.0,7(13),7.0,13,769.0,7.0,0.8,15.5,81.2,0.1,0.9,0.2,6.9
5,29,4173,Arjen Robben,38.0," M(CLR),FW",180.0,80.0,11(5),11.0,5,992.0,5.0,1.8,30.6,85.1,1.1,0.6,0.6,7.55
6,30,76304,Xherdan Shaqiri,30.0, M(CLR),169.0,72.0,13(13),13.0,13,1393.0,5.0,1.5,29.9,86.4,1.4,2.4,0.2,7.24
7,31,4567,Bastian Schweinsteiger,38.0," D(C),M(C)",183.0,79.0,27(1),27.0,1,2360.0,3.0,0.9,74.0,87.8,0.4,9.3,0.3,7.64
8,32,39722,David Alaba,30.0," D(CL),M(CL)",180.0,78.0,22(1),22.0,1,1996.0,3.0,0.7,54.1,89.3,0.9,2.7,0.1,7.32
9,33,14091,Javi Martínez,34.0," D(C),M(C)",192.0,86.0,19(8),19.0,8,1771.0,3.0,0.4,42.5,87.7,0.1,3.0,0.1,7.47
10,34,23589,Jérôme Boateng,34.0, D(CR),192.0,90.0,25(1),25.0,1,2245.0,2.0,0.3,66.7,88.4,0.1,7.2,0.1,7.17
11,35,6683,Dante,38.0, D(C),188.0,87.0,29,29.0,0,2610.0,1.0,0.1,66.5,90.6,0.0,8.4,0.0,7.12
12,36,29943,Holger Badstuber,33.0, D(CL),189.0,83.0,12,12.0,0,983.0,1.0,0.8,59.0,92.9,0.3,5.3,0.0,7.18
13,37,43369,Luiz Gustavo,35.0," D(C),M(C)",187.0,78.0,16(6),16.0,6,1464.0,1.0,0.3,42.6,92.8,0.1,3.7,0.1,7.13
14,38,13755,Rafinha,37.0," D(CLR),M(R)",172.0,65.0,6(7),6.0,7,585.0,1.0,0.4,36.9,89.6,0.5,2.9,0.0,6.9
15,39,6255,Mario Gomez,37.0, FW,189.0,89.0,9(12),9.0,12,897.0,1.0,0.3,7.4,78.8,0.1,0.2,0.0,6.98
16,40,24088,Mario Mandzukic,36.0," M(L),FW",190.0,85.0,22(2),22.0,2,1744.0,1.0,0.8,19.6,70.9,0.3,0.4,0.0,7.49
17,41,4801,Anatoliy Tymoshchuk,43.0, DMC,181.0,75.0,5(11),5.0,11,598.0,0.0,0.0,29.2,88.0,0.0,3.3,0.0,6.72
18,42,2179,Daniel Van Buyten,44.0, D(C),197.0,96.0,11(2),11.0,2,1066.0,0.0,0.0,64.0,90.9,0.0,5.8,0.0,7.04
19,43,70097,Diego Contento,32.0," D(L),M(L)",177.0,74.0,4(1),4.0,1,380.0,0.0,0.6,38.6,82.4,0.4,2.8,0.0,6.84
20,44,111212,Emre Can,28.0," D(CLR),DMC",186.0,86.0,2(2),2.0,2,218.0,0.0,1.0,21.8,79.3,0.5,1.0,0.0,7.19
21,45,13754,Manuel Neuer,36.0, GK,193.0,93.0,31,31.0,0,2790.0,0.0,0.0,26.7,74.9,0.0,7.0,0.0,6.86
22,46,101859,Pierre-Emile Højbjerg,27.0, M(C),187.0,84.0,0(2),0.0,2,25.0,0.0,0.5,4.5,66.7,0.5,0.0,0.0,6.33
23,47,10168,Tom Starke,41.0, GK,194.0,98.0,3,3.0,0,270.0,0.0,0.0,26.0,71.8,0.0,6.7,0.0,7.63
