,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Juventus,38,28,6,4,70,30,90,64.53,58.44,35.03,31.99,26.45,9.77,13.03,290,158,70.93
2,Napoli,38,24,7,7,74,36,79,68.24,65.19,36.5,33.46,31.74,10.38,16.17,344,181,74.45
3,Atalanta,38,20,9,9,77,46,69,74.43,71.38,41.85,38.04,33.34,8.56,12.62,367,164,71.88
4,Inter,38,20,9,9,57,33,69,66.47,59.62,38.4,34.59,25.03,8.93,15.44,311,192,71.75
5,AC Milan,38,19,11,8,55,36,68,52.16,49.12,41.7,37.9,11.22,11.17,12.41,255,194,60.11
6,Roma,38,18,12,8,66,48,66,68.39,63.83,52.79,47.46,16.36,11.72,11.9,296,219,62.13
7,Torino,38,16,15,7,52,37,63,46.47,41.9,48.94,45.14,-3.23,7.11,8.34,219,215,49.84
8,Lazio,38,17,8,13,56,46,59,61.27,56.7,46.45,41.87,14.83,10.92,12.01,337,196,61.04
9,Sampdoria,38,15,8,15,60,51,53,53.19,44.06,54.27,48.05,-3.99,9.14,11.51,290,215,50.95
10,Bologna,38,11,11,16,48,56,44,48.1,44.29,51.06,48.01,-3.7199999999999998,11.33,8.44,200,238,48.95
11,Sassuolo,38,9,16,13,53,60,43,49.75,45.95,61.11,55.02,-9.07,10.7,10.47,191,220,45.64
12,Udinese,38,11,10,17,39,53,43,42.49,36.22,62.23,55.38,-19.16,12.77,7.87,166,290,38.67
13,SPAL 2013,38,11,9,18,44,56,42,43.28,37.19,54.01,50.2,-13.01,11.09,9.38,139,288,44.73
14,Fiorentina,38,8,17,13,47,45,41,54.12,49.56,44.08,39.51,10.04,9.01,9.66,211,194,59.22
15,Cagliari,38,10,11,17,36,54,41,40.94,38.66,63.74,56.13,-17.47,9.88,12.03,196,292,39.37
16,Parma Calcio 1913,38,10,11,17,41,61,41,41.1,37.29,64.98,58.89,-21.6,15.52,7.52,128,346,36.78
17,Genoa,38,8,14,16,39,57,38,44.54,40.73,56.35,51.79,-11.05,11.03,8.2,235,255,44.68
18,Empoli,38,10,8,20,51,70,38,52.06,46.6,63.33,57.24,-10.64,13.03,10.55,292,265,46.54
19,Frosinone,38,5,10,23,29,69,25,36.1,32.3,64.59,60.79,-28.49,12.79,8.61,139,335,35.94
20,Chievo,38,2,14,22,25,75,20,36.48,31.91,62.69,59.48,-27.57,12.51,10.27,147,296,35.0
